2024-11-12 10:52:57.2341807 UTC: main(): Argument: D:\cppAppDev\cpp\debugging\x64\Debug\01_startTimeDebugMode.exe
2024-11-12 10:52:57.2388555 UTC: main(): Argument: -d
2024-11-12 10:52:57.2391020 UTC: trickyFunction(): given argument: ComplicatedClass
2024-11-12 10:52:57.2457829 UTC: trickyFunction(): retrieved cmd 20: UserCommand
2024-11-12 10:52:57.2461756 UTC: trickyFunction(): retrieved cmd 21: UserCommand
2024-11-12 10:52:57.2465630 UTC: trickyFunction(): retrieved cmd 22: UserCommand
2024-11-12 10:52:57.2468088 UTC: trickyFunction(): retrieved cmd 23: UserCommand
2024-11-12 10:52:57.2470665 UTC: trickyFunction(): retrieved cmd 24: UserCommand
2024-11-12 10:52:57.2474173 UTC: trickyFunction(): retrieved cmd 25: UserCommand
2024-11-12 10:52:57.2477699 UTC: trickyFunction(): retrieved cmd 26: UserCommand
2024-11-12 10:52:57.2481074 UTC: trickyFunction(): retrieved cmd 27: UserCommand
2024-11-12 10:52:57.2484223 UTC: trickyFunction(): retrieved cmd 28: UserCommand
2024-11-12 10:52:57.2487012 UTC: trickyFunction(): retrieved cmd 29: UserCommand
2024-11-12 10:52:57.2489984 UTC: trickyFunction(): retrieved cmd 30: UserCommand
2024-11-12 10:52:57.2492787 UTC: trickyFunction(): retrieved cmd 31: UserCommand
2024-11-12 10:52:57.2495656 UTC: trickyFunction(): retrieved cmd 32: UserCommand
2024-11-12 10:52:57.2498550 UTC: trickyFunction(): retrieved cmd 33: UserCommand
2024-11-12 10:52:57.2501587 UTC: trickyFunction(): retrieved cmd 34: UserCommand
2024-11-12 10:52:57.2504512 UTC: trickyFunction(): retrieved cmd 35: UserCommand
2024-11-12 10:52:57.2507323 UTC: trickyFunction(): retrieved cmd 36: UserCommand
2024-11-12 10:52:57.2510332 UTC: trickyFunction(): retrieved cmd 37: UserCommand
2024-11-12 10:52:57.2513128 UTC: trickyFunction(): retrieved cmd 38: UserCommand
2024-11-12 10:52:57.2515886 UTC: trickyFunction(): retrieved cmd 39: UserCommand
2024-11-12 10:52:57.2518245 UTC: trickyFunction(): retrieved cmd 40: UserCommand
2024-11-12 10:52:57.2520609 UTC: trickyFunction(): retrieved cmd 41: UserCommand
2024-11-12 10:52:57.2522884 UTC: trickyFunction(): retrieved cmd 42: UserCommand
2024-11-12 10:52:57.2525123 UTC: trickyFunction(): retrieved cmd 43: UserCommand
2024-11-12 10:52:57.2527522 UTC: trickyFunction(): retrieved cmd 44: UserCommand
2024-11-12 10:52:57.2530302 UTC: trickyFunction(): retrieved cmd 45: UserCommand
2024-11-12 10:52:57.2532593 UTC: trickyFunction(): retrieved cmd 46: UserCommand
2024-11-12 10:52:57.2535120 UTC: trickyFunction(): retrieved cmd 47: UserCommand
2024-11-12 10:52:57.2537214 UTC: trickyFunction(): retrieved cmd 48: UserCommand
2024-11-12 10:52:57.2539246 UTC: trickyFunction(): retrieved cmd 49: UserCommand
2024-11-12 10:52:57.2541326 UTC: trickyFunction(): retrieved cmd 50: UserCommand
2024-11-12 10:52:57.2543571 UTC: trickyFunction(): retrieved cmd 51: UserCommand
2024-11-12 10:52:57.2545709 UTC: trickyFunction(): retrieved cmd 52: UserCommand
2024-11-12 10:52:57.2547783 UTC: trickyFunction(): retrieved cmd 53: UserCommand
2024-11-12 10:52:57.2549821 UTC: trickyFunction(): retrieved cmd 54: UserCommand
2024-11-12 10:52:57.2551972 UTC: trickyFunction(): retrieved cmd 55: UserCommand
2024-11-12 10:52:57.2554295 UTC: trickyFunction(): retrieved cmd 56: UserCommand
2024-11-12 10:52:57.2556541 UTC: trickyFunction(): retrieved cmd 57: UserCommand
2024-11-12 10:52:57.2558651 UTC: trickyFunction(): retrieved cmd 58: UserCommand
2024-11-12 10:52:57.2560849 UTC: trickyFunction(): retrieved cmd 59: UserCommand
2024-11-12 10:52:57.2562924 UTC: trickyFunction(): retrieved cmd 60: UserCommand
2024-11-12 10:52:57.2565150 UTC: trickyFunction(): retrieved cmd 61: UserCommand
2024-11-12 10:52:57.2567326 UTC: trickyFunction(): retrieved cmd 62: UserCommand
2024-11-12 10:52:57.2569693 UTC: trickyFunction(): retrieved cmd 63: UserCommand
2024-11-12 10:52:57.2572942 UTC: trickyFunction(): retrieved cmd 64: UserCommand
2024-11-12 10:52:57.2577340 UTC: trickyFunction(): retrieved cmd 65: UserCommand
2024-11-12 10:52:57.2580939 UTC: trickyFunction(): retrieved cmd 66: UserCommand
2024-11-12 10:52:57.2584708 UTC: trickyFunction(): retrieved cmd 67: UserCommand
2024-11-12 10:52:57.2587739 UTC: trickyFunction(): retrieved cmd 68: UserCommand
2024-11-12 10:52:57.2590556 UTC: trickyFunction(): retrieved cmd 69: UserCommand
2024-11-12 10:52:57.2593228 UTC: trickyFunction(): retrieved cmd 70: UserCommand
2024-11-12 10:52:57.2597680 UTC: trickyFunction(): retrieved cmd 71: UserCommand
2024-11-12 10:52:57.2603953 UTC: trickyFunction(): retrieved cmd 72: UserCommand
2024-11-12 10:52:57.2608253 UTC: trickyFunction(): retrieved cmd 73: UserCommand
2024-11-12 10:52:57.2610978 UTC: trickyFunction(): retrieved cmd 74: UserCommand
2024-11-12 10:52:57.2613699 UTC: trickyFunction(): retrieved cmd 75: UserCommand
2024-11-12 10:52:57.2616531 UTC: trickyFunction(): retrieved cmd 76: UserCommand
2024-11-12 10:52:57.2618998 UTC: trickyFunction(): retrieved cmd 77: UserCommand
2024-11-12 10:52:57.2622743 UTC: trickyFunction(): retrieved cmd 78: UserCommand
2024-11-12 10:52:57.2625340 UTC: trickyFunction(): retrieved cmd 79: UserCommand
2024-11-12 10:52:57.2628043 UTC: trickyFunction(): retrieved cmd 80: UserCommand
2024-11-12 10:52:57.2630410 UTC: trickyFunction(): retrieved cmd 81: UserCommand
2024-11-12 10:52:57.2633095 UTC: trickyFunction(): retrieved cmd 82: UserCommand
2024-11-12 10:52:57.2635402 UTC: trickyFunction(): retrieved cmd 83: UserCommand
2024-11-12 10:52:57.2638060 UTC: trickyFunction(): retrieved cmd 84: UserCommand
2024-11-12 10:52:57.2640558 UTC: trickyFunction(): retrieved cmd 85: UserCommand
2024-11-12 10:52:57.2643230 UTC: trickyFunction(): retrieved cmd 86: UserCommand
2024-11-12 10:52:57.2645687 UTC: trickyFunction(): retrieved cmd 87: UserCommand
2024-11-12 10:52:57.2648349 UTC: trickyFunction(): retrieved cmd 88: UserCommand
2024-11-12 10:52:57.2650876 UTC: trickyFunction(): retrieved cmd 89: UserCommand
2024-11-12 10:52:57.2654169 UTC: trickyFunction(): retrieved cmd 90: UserCommand
2024-11-12 10:52:57.2656264 UTC: trickyFunction(): retrieved cmd 91: UserCommand
2024-11-12 10:52:57.2658598 UTC: trickyFunction(): retrieved cmd 92: UserCommand
2024-11-12 10:52:57.2661260 UTC: trickyFunction(): retrieved cmd 93: UserCommand
2024-11-12 10:52:57.2664753 UTC: trickyFunction(): retrieved cmd 94: UserCommand
2024-11-12 10:52:57.2667413 UTC: trickyFunction(): retrieved cmd 95: UserCommand
2024-11-12 10:52:57.2669694 UTC: trickyFunction(): retrieved cmd 96: UserCommand
2024-11-12 10:52:57.2672324 UTC: trickyFunction(): retrieved cmd 97: UserCommand
2024-11-12 10:52:57.2674489 UTC: trickyFunction(): retrieved cmd 98: UserCommand
2024-11-12 10:52:57.2676617 UTC: trickyFunction(): retrieved cmd 99: UserCommand
2024-11-12 10:54:32.0846667 UTC: main(): Argument: D:\cppAppDev\cpp\debugging\x64\Debug\01_startTimeDebugMode.exe
2024-11-12 10:54:32.0854649 UTC: main(): Argument: -d
2024-11-12 10:54:32.0859616 UTC: trickyFunction(): given argument: ComplicatedClass
2024-11-12 10:54:32.0863866 UTC: trickyFunction(): retrieved cmd 0: UserCommand
2024-11-12 10:54:32.0867540 UTC: trickyFunction(): retrieved cmd 1: UserCommand
2024-11-12 10:54:32.0870797 UTC: trickyFunction(): retrieved cmd 2: UserCommand
2024-11-12 10:54:32.0874438 UTC: trickyFunction(): retrieved cmd 3: UserCommand
2024-11-12 10:54:32.0878293 UTC: trickyFunction(): retrieved cmd 4: UserCommand
2024-11-12 10:54:32.0881686 UTC: trickyFunction(): retrieved cmd 5: UserCommand
2024-11-12 10:54:32.0884554 UTC: trickyFunction(): retrieved cmd 6: UserCommand
2024-11-12 10:54:32.0888073 UTC: trickyFunction(): retrieved cmd 7: UserCommand
2024-11-12 10:54:32.0891651 UTC: trickyFunction(): retrieved cmd 8: UserCommand
2024-11-12 10:54:32.0893971 UTC: trickyFunction(): retrieved cmd 9: UserCommand
2024-11-12 10:54:32.0896369 UTC: trickyFunction(): retrieved cmd 10: UserCommand
2024-11-12 10:54:32.0898545 UTC: trickyFunction(): retrieved cmd 11: UserCommand
2024-11-12 10:54:32.0901397 UTC: trickyFunction(): retrieved cmd 12: UserCommand
2024-11-12 10:54:32.0903967 UTC: trickyFunction(): retrieved cmd 13: UserCommand
2024-11-12 10:54:32.0906193 UTC: trickyFunction(): retrieved cmd 14: UserCommand
2024-11-12 10:54:32.0908556 UTC: trickyFunction(): retrieved cmd 15: UserCommand
2024-11-12 10:54:32.0910940 UTC: trickyFunction(): retrieved cmd 16: UserCommand
2024-11-12 10:54:32.0913098 UTC: trickyFunction(): retrieved cmd 17: UserCommand
2024-11-12 10:54:32.0915537 UTC: trickyFunction(): retrieved cmd 18: UserCommand
2024-11-12 10:54:32.0917688 UTC: trickyFunction(): retrieved cmd 19: UserCommand
2024-11-12 10:54:32.0920444 UTC: trickyFunction(): retrieved cmd 20: UserCommand
2024-11-12 10:54:32.0922599 UTC: trickyFunction(): retrieved cmd 21: UserCommand
2024-11-12 10:54:32.0924926 UTC: trickyFunction(): retrieved cmd 22: UserCommand
2024-11-12 10:54:32.0927236 UTC: trickyFunction(): retrieved cmd 23: UserCommand
2024-11-12 10:54:32.0929382 UTC: trickyFunction(): retrieved cmd 24: UserCommand
2024-11-12 10:54:32.0931978 UTC: trickyFunction(): retrieved cmd 25: UserCommand
2024-11-12 10:54:32.0934630 UTC: trickyFunction(): retrieved cmd 26: UserCommand
2024-11-12 10:54:32.0937324 UTC: trickyFunction(): retrieved cmd 27: UserCommand
2024-11-12 10:54:32.0939898 UTC: trickyFunction(): retrieved cmd 28: UserCommand
2024-11-12 10:54:32.0942286 UTC: trickyFunction(): retrieved cmd 29: UserCommand
2024-11-12 10:54:32.0945060 UTC: trickyFunction(): retrieved cmd 30: UserCommand
2024-11-12 10:54:32.0947600 UTC: trickyFunction(): retrieved cmd 31: UserCommand
2024-11-12 10:54:32.0950417 UTC: trickyFunction(): retrieved cmd 32: UserCommand
2024-11-12 10:54:32.0952952 UTC: trickyFunction(): retrieved cmd 33: UserCommand
2024-11-12 10:54:32.0955474 UTC: trickyFunction(): retrieved cmd 34: UserCommand
2024-11-12 10:54:32.0958034 UTC: trickyFunction(): retrieved cmd 35: UserCommand
2024-11-12 10:54:32.0960569 UTC: trickyFunction(): retrieved cmd 36: UserCommand
2024-11-12 10:54:32.0963264 UTC: trickyFunction(): retrieved cmd 37: UserCommand
2024-11-12 10:54:32.0966254 UTC: trickyFunction(): retrieved cmd 38: UserCommand
2024-11-12 10:54:32.0968563 UTC: trickyFunction(): retrieved cmd 39: UserCommand
2024-11-12 10:54:32.0970870 UTC: trickyFunction(): retrieved cmd 40: UserCommand
2024-11-12 10:54:32.0973185 UTC: trickyFunction(): retrieved cmd 41: UserCommand
2024-11-12 10:54:32.0975765 UTC: trickyFunction(): retrieved cmd 42: UserCommand
2024-11-12 10:54:32.0978301 UTC: trickyFunction(): retrieved cmd 43: UserCommand
2024-11-12 10:54:32.0981439 UTC: trickyFunction(): retrieved cmd 44: UserCommand
2024-11-12 10:54:32.0984146 UTC: trickyFunction(): retrieved cmd 45: UserCommand
2024-11-12 10:54:32.0986787 UTC: trickyFunction(): retrieved cmd 46: UserCommand
2024-11-12 10:54:32.0989199 UTC: trickyFunction(): retrieved cmd 47: UserCommand
2024-11-12 10:54:32.0991991 UTC: trickyFunction(): retrieved cmd 48: UserCommand
2024-11-12 10:54:32.0994484 UTC: trickyFunction(): retrieved cmd 49: UserCommand
2024-11-12 10:54:32.0997122 UTC: trickyFunction(): retrieved cmd 50: UserCommand
2024-11-12 10:54:32.1000775 UTC: trickyFunction(): retrieved cmd 51: UserCommand
2024-11-12 10:54:32.1004961 UTC: trickyFunction(): retrieved cmd 52: UserCommand
2024-11-12 10:54:32.1008887 UTC: trickyFunction(): retrieved cmd 53: UserCommand
2024-11-12 10:54:32.1012011 UTC: trickyFunction(): retrieved cmd 54: UserCommand
2024-11-12 10:54:32.1014877 UTC: trickyFunction(): retrieved cmd 55: UserCommand
2024-11-12 10:54:32.1017065 UTC: trickyFunction(): retrieved cmd 56: UserCommand
2024-11-12 10:54:32.1019592 UTC: trickyFunction(): retrieved cmd 57: UserCommand
2024-11-12 10:54:32.1023536 UTC: trickyFunction(): retrieved cmd 58: UserCommand
2024-11-12 10:54:32.1025442 UTC: trickyFunction(): retrieved cmd 59: UserCommand
2024-11-12 10:54:32.1028191 UTC: trickyFunction(): retrieved cmd 60: UserCommand
2024-11-12 10:54:32.1031730 UTC: trickyFunction(): retrieved cmd 61: UserCommand
2024-11-12 10:54:32.1034722 UTC: trickyFunction(): retrieved cmd 62: UserCommand
2024-11-12 10:54:32.1038248 UTC: trickyFunction(): retrieved cmd 63: UserCommand
2024-11-12 10:54:32.1041969 UTC: trickyFunction(): retrieved cmd 64: UserCommand
2024-11-12 10:54:32.1044502 UTC: trickyFunction(): retrieved cmd 65: UserCommand
2024-11-12 10:54:32.1047157 UTC: trickyFunction(): retrieved cmd 66: UserCommand
2024-11-12 10:54:32.1049876 UTC: trickyFunction(): retrieved cmd 67: UserCommand
2024-11-12 10:54:32.1052273 UTC: trickyFunction(): retrieved cmd 68: UserCommand
2024-11-12 10:54:32.1054569 UTC: trickyFunction(): retrieved cmd 69: UserCommand
2024-11-12 10:54:32.1057126 UTC: trickyFunction(): retrieved cmd 70: UserCommand
2024-11-12 10:54:32.1059450 UTC: trickyFunction(): retrieved cmd 71: UserCommand
2024-11-12 10:54:32.1061826 UTC: trickyFunction(): retrieved cmd 72: UserCommand
2024-11-12 10:54:32.1064400 UTC: trickyFunction(): retrieved cmd 73: UserCommand
2024-11-12 10:54:32.1066783 UTC: trickyFunction(): retrieved cmd 74: UserCommand
2024-11-12 10:54:32.1069085 UTC: trickyFunction(): retrieved cmd 75: UserCommand
2024-11-12 10:54:32.1071461 UTC: trickyFunction(): retrieved cmd 76: UserCommand
2024-11-12 10:54:32.1073858 UTC: trickyFunction(): retrieved cmd 77: UserCommand
2024-11-12 10:54:32.1075939 UTC: trickyFunction(): retrieved cmd 78: UserCommand
2024-11-12 10:54:32.1078606 UTC: trickyFunction(): retrieved cmd 79: UserCommand
2024-11-12 10:54:32.1080715 UTC: trickyFunction(): retrieved cmd 80: UserCommand
2024-11-12 10:54:32.1083080 UTC: trickyFunction(): retrieved cmd 81: UserCommand
2024-11-12 10:54:32.1085028 UTC: trickyFunction(): retrieved cmd 82: UserCommand
2024-11-12 10:54:32.1087394 UTC: trickyFunction(): retrieved cmd 83: UserCommand
2024-11-12 10:54:32.1089512 UTC: trickyFunction(): retrieved cmd 84: UserCommand
2024-11-12 10:54:32.1091993 UTC: trickyFunction(): retrieved cmd 85: UserCommand
2024-11-12 10:54:32.1094372 UTC: trickyFunction(): retrieved cmd 86: UserCommand
2024-11-12 10:54:32.1096591 UTC: trickyFunction(): retrieved cmd 87: UserCommand
2024-11-12 10:54:32.1098693 UTC: trickyFunction(): retrieved cmd 88: UserCommand
2024-11-12 10:54:32.1101202 UTC: trickyFunction(): retrieved cmd 89: UserCommand
2024-11-12 10:54:32.1103572 UTC: trickyFunction(): retrieved cmd 90: UserCommand
2024-11-12 10:54:32.1105796 UTC: trickyFunction(): retrieved cmd 91: UserCommand
2024-11-12 10:54:32.1107906 UTC: trickyFunction(): retrieved cmd 92: UserCommand
2024-11-12 10:54:32.1110285 UTC: trickyFunction(): retrieved cmd 93: UserCommand
2024-11-12 10:54:32.1112821 UTC: trickyFunction(): retrieved cmd 94: UserCommand
2024-11-12 10:54:32.1115365 UTC: trickyFunction(): retrieved cmd 95: UserCommand
2024-11-12 10:54:32.1117391 UTC: trickyFunction(): retrieved cmd 96: UserCommand
2024-11-12 10:54:32.1119704 UTC: trickyFunction(): retrieved cmd 97: UserCommand
2024-11-12 10:54:32.1121812 UTC: trickyFunction(): retrieved cmd 98: UserCommand
2024-11-12 10:54:32.1123927 UTC: trickyFunction(): retrieved cmd 99: UserCommand
2024-11-12 10:54:54.2756010 UTC: main(): Argument: D:\cppAppDev\cpp\debugging\x64\Debug\01_startTimeDebugMode.exe
2024-11-12 10:54:54.2763836 UTC: main(): Argument: -d
2024-11-12 10:54:54.2766572 UTC: trickyFunction(): given argument: ComplicatedClass
2024-11-12 10:54:54.2769657 UTC: trickyFunction(): retrieved cmd 0: UserCommand
2024-11-12 10:54:54.2772268 UTC: trickyFunction(): retrieved cmd 1: UserCommand
2024-11-12 10:54:54.2774743 UTC: trickyFunction(): retrieved cmd 2: UserCommand
2024-11-12 10:54:54.2776753 UTC: trickyFunction(): retrieved cmd 3: UserCommand
2024-11-12 10:54:54.2778720 UTC: trickyFunction(): retrieved cmd 4: UserCommand
2024-11-12 10:54:54.2781018 UTC: trickyFunction(): retrieved cmd 5: UserCommand
2024-11-12 10:54:54.2783412 UTC: trickyFunction(): retrieved cmd 6: UserCommand
2024-11-12 10:54:54.2785431 UTC: trickyFunction(): retrieved cmd 7: UserCommand
2024-11-12 10:54:54.2787401 UTC: trickyFunction(): retrieved cmd 8: UserCommand
2024-11-12 10:54:54.2789395 UTC: trickyFunction(): retrieved cmd 9: UserCommand
2024-11-12 10:54:54.2791377 UTC: trickyFunction(): retrieved cmd 10: UserCommand
2024-11-12 10:54:54.2793313 UTC: trickyFunction(): retrieved cmd 11: UserCommand
2024-11-12 10:54:54.2795259 UTC: trickyFunction(): retrieved cmd 12: UserCommand
2024-11-12 10:54:54.2797210 UTC: trickyFunction(): retrieved cmd 13: UserCommand
2024-11-12 10:54:54.2799144 UTC: trickyFunction(): retrieved cmd 14: UserCommand
2024-11-12 10:54:54.2801129 UTC: trickyFunction(): retrieved cmd 15: UserCommand
2024-11-12 10:54:54.2803054 UTC: trickyFunction(): retrieved cmd 16: UserCommand
2024-11-12 10:54:54.2804969 UTC: trickyFunction(): retrieved cmd 17: UserCommand
2024-11-12 10:54:54.2806860 UTC: trickyFunction(): retrieved cmd 18: UserCommand
2024-11-12 10:54:54.2808792 UTC: trickyFunction(): retrieved cmd 19: UserCommand
2024-11-12 10:54:54.2810715 UTC: trickyFunction(): retrieved cmd 20: UserCommand
2024-11-12 10:54:54.2812660 UTC: trickyFunction(): retrieved cmd 21: UserCommand
2024-11-12 10:54:54.2814619 UTC: trickyFunction(): retrieved cmd 22: UserCommand
2024-11-12 10:54:54.2816531 UTC: trickyFunction(): retrieved cmd 23: UserCommand
2024-11-12 10:54:54.2818432 UTC: trickyFunction(): retrieved cmd 24: UserCommand
2024-11-12 10:54:54.2820373 UTC: trickyFunction(): retrieved cmd 25: UserCommand
2024-11-12 10:54:54.2822320 UTC: trickyFunction(): retrieved cmd 26: UserCommand
2024-11-12 10:54:54.2824273 UTC: trickyFunction(): retrieved cmd 27: UserCommand
2024-11-12 10:54:54.2826207 UTC: trickyFunction(): retrieved cmd 28: UserCommand
2024-11-12 10:54:54.2828139 UTC: trickyFunction(): retrieved cmd 29: UserCommand
2024-11-12 10:54:54.2830074 UTC: trickyFunction(): retrieved cmd 30: UserCommand
2024-11-12 10:54:54.2832030 UTC: trickyFunction(): retrieved cmd 31: UserCommand
2024-11-12 10:54:54.2834050 UTC: trickyFunction(): retrieved cmd 32: UserCommand
2024-11-12 10:54:54.2836209 UTC: trickyFunction(): retrieved cmd 33: UserCommand
2024-11-12 10:54:54.2838347 UTC: trickyFunction(): retrieved cmd 34: UserCommand
2024-11-12 10:54:54.2840527 UTC: trickyFunction(): retrieved cmd 35: UserCommand
2024-11-12 10:54:54.2843234 UTC: trickyFunction(): retrieved cmd 36: UserCommand
2024-11-12 10:54:54.2845327 UTC: trickyFunction(): retrieved cmd 37: UserCommand
2024-11-12 10:54:54.2847288 UTC: trickyFunction(): retrieved cmd 38: UserCommand
2024-11-12 10:54:54.2849248 UTC: trickyFunction(): retrieved cmd 39: UserCommand
2024-11-12 10:54:54.2851237 UTC: trickyFunction(): retrieved cmd 40: UserCommand
2024-11-12 10:54:54.2853535 UTC: trickyFunction(): retrieved cmd 41: UserCommand
2024-11-12 10:54:54.2855868 UTC: trickyFunction(): retrieved cmd 42: UserCommand
2024-11-12 10:54:54.2858852 UTC: trickyFunction(): retrieved cmd 43: UserCommand
2024-11-12 10:54:54.2860982 UTC: trickyFunction(): retrieved cmd 44: UserCommand
2024-11-12 10:54:54.2865074 UTC: trickyFunction(): retrieved cmd 45: UserCommand
2024-11-12 10:54:54.2868782 UTC: trickyFunction(): retrieved cmd 46: UserCommand
2024-11-12 10:54:54.2871222 UTC: trickyFunction(): retrieved cmd 47: UserCommand
2024-11-12 10:54:54.2874429 UTC: trickyFunction(): retrieved cmd 48: UserCommand
2024-11-12 10:54:54.2877963 UTC: trickyFunction(): retrieved cmd 49: UserCommand
2024-11-12 10:54:54.2881850 UTC: trickyFunction(): retrieved cmd 50: UserCommand
2024-11-12 10:54:54.2884128 UTC: trickyFunction(): retrieved cmd 51: UserCommand
2024-11-12 10:54:54.2886643 UTC: trickyFunction(): retrieved cmd 52: UserCommand
2024-11-12 10:54:54.2889188 UTC: trickyFunction(): retrieved cmd 53: UserCommand
2024-11-12 10:54:54.2891841 UTC: trickyFunction(): retrieved cmd 54: UserCommand
2024-11-12 10:54:54.2895239 UTC: trickyFunction(): retrieved cmd 55: UserCommand
2024-11-12 10:54:54.2897556 UTC: trickyFunction(): retrieved cmd 56: UserCommand
2024-11-12 10:54:54.2899783 UTC: trickyFunction(): retrieved cmd 57: UserCommand
2024-11-12 10:54:54.2902093 UTC: trickyFunction(): retrieved cmd 58: UserCommand
2024-11-12 10:54:54.2904811 UTC: trickyFunction(): retrieved cmd 59: UserCommand
2024-11-12 10:54:54.2907122 UTC: trickyFunction(): retrieved cmd 60: UserCommand
2024-11-12 10:54:54.2909938 UTC: trickyFunction(): retrieved cmd 61: UserCommand
2024-11-12 10:54:54.2912934 UTC: trickyFunction(): retrieved cmd 62: UserCommand
2024-11-12 10:54:54.2916773 UTC: trickyFunction(): retrieved cmd 63: UserCommand
2024-11-12 10:54:54.2920088 UTC: trickyFunction(): retrieved cmd 64: UserCommand
2024-11-12 10:54:54.2923503 UTC: trickyFunction(): retrieved cmd 65: UserCommand
2024-11-12 10:54:54.2926639 UTC: trickyFunction(): retrieved cmd 66: UserCommand
2024-11-12 10:54:54.2929809 UTC: trickyFunction(): retrieved cmd 67: UserCommand
2024-11-12 10:54:54.2933220 UTC: trickyFunction(): retrieved cmd 68: UserCommand
2024-11-12 10:54:54.2936205 UTC: trickyFunction(): retrieved cmd 69: UserCommand
2024-11-12 10:54:54.2939299 UTC: trickyFunction(): retrieved cmd 70: UserCommand
2024-11-12 10:54:54.2942410 UTC: trickyFunction(): retrieved cmd 71: UserCommand
2024-11-12 10:54:54.2945472 UTC: trickyFunction(): retrieved cmd 72: UserCommand
2024-11-12 10:54:54.2948578 UTC: trickyFunction(): retrieved cmd 73: UserCommand
2024-11-12 10:54:54.2951553 UTC: trickyFunction(): retrieved cmd 74: UserCommand
2024-11-12 10:54:54.2954795 UTC: trickyFunction(): retrieved cmd 75: UserCommand
2024-11-12 10:54:54.2957870 UTC: trickyFunction(): retrieved cmd 76: UserCommand
2024-11-12 10:54:54.2960865 UTC: trickyFunction(): retrieved cmd 77: UserCommand
2024-11-12 10:54:54.2963839 UTC: trickyFunction(): retrieved cmd 78: UserCommand
2024-11-12 10:54:54.2966940 UTC: trickyFunction(): retrieved cmd 79: UserCommand
2024-11-12 10:54:54.2970038 UTC: trickyFunction(): retrieved cmd 80: UserCommand
2024-11-12 10:54:54.2973119 UTC: trickyFunction(): retrieved cmd 81: UserCommand
2024-11-12 10:54:54.2976276 UTC: trickyFunction(): retrieved cmd 82: UserCommand
2024-11-12 10:54:54.2979542 UTC: trickyFunction(): retrieved cmd 83: UserCommand
2024-11-12 10:54:54.2981569 UTC: trickyFunction(): retrieved cmd 84: UserCommand
2024-11-12 10:54:54.2983575 UTC: trickyFunction(): retrieved cmd 85: UserCommand
2024-11-12 10:54:54.2985586 UTC: trickyFunction(): retrieved cmd 86: UserCommand
2024-11-12 10:54:54.2987549 UTC: trickyFunction(): retrieved cmd 87: UserCommand
2024-11-12 10:54:54.2989497 UTC: trickyFunction(): retrieved cmd 88: UserCommand
2024-11-12 10:54:54.2991478 UTC: trickyFunction(): retrieved cmd 89: UserCommand
2024-11-12 10:54:54.2993402 UTC: trickyFunction(): retrieved cmd 90: UserCommand
2024-11-12 10:54:54.2995724 UTC: trickyFunction(): retrieved cmd 91: UserCommand
2024-11-12 10:54:54.2997734 UTC: trickyFunction(): retrieved cmd 92: UserCommand
2024-11-12 10:54:54.2999686 UTC: trickyFunction(): retrieved cmd 93: UserCommand
2024-11-12 10:54:54.3001690 UTC: trickyFunction(): retrieved cmd 94: UserCommand
2024-11-12 10:54:54.3003606 UTC: trickyFunction(): retrieved cmd 95: UserCommand
2024-11-12 10:54:54.3005545 UTC: trickyFunction(): retrieved cmd 96: UserCommand
2024-11-12 10:54:54.3007486 UTC: trickyFunction(): retrieved cmd 97: UserCommand
